category,company_name,product_name,crawl_date,가격요소주계약기준_계약체결비용지수_계약체결비용지수_남자,가격요소주계약기준_계약체결비용지수_계약체결비용지수_여자,가격요소주계약기준_금리부가방식_및_적용금리_금리연동형_자산연계형_최저보증이율,가격요소주계약기준_금리부가방식_및_적용금리_금리연동형_자산연계형_현재공시이율,가격요소주계약기준_금리부가방식_및_적용금리_금리확정형_확정이율,가격요소주계약기준_보장범위지수_보장범위지수_암입원,가격요소주계약기준_보장범위지수_보장범위지수_암진단,가격요소주계약기준_보험가격지수_보험가격지수_남자,가격요소주계약기준_보험가격지수_보험가격지수_여자,가격요소주계약기준_부가보험료지수_부가보험료지수_남자,가격요소주계약기준_부가보험료지수_부가보험료지수_여자,보장내용_및_보험료_구분_구분_구분,보장내용_및_보험료_급부명칭_급부명칭_급부명칭,보장내용_및_보험료_보험료_보험료_가입금액,보장내용_및_보험료_보험료_보험료_남자,보장내용_및_보험료_보험료_보험료_여자,보장내용_및_보험료_지급금액_지급금액_지급금액,보장내용_및_보험료_지급사유_지급사유_지급사유,보험회사명_보험회사명_보험회사명_보험회사명,상품명_상품명_상품명_상품명,상품운용_대표번호_대표번호_대표번호,상품운용_특이사항_특이사항_특이사항,상품운용_판매일자_판매일자_판매일자,상품운용_판매채널_판매채널_판매채널,상품특징_갱신주기_갱신주기_갱신주기,상품특징_유니버셜_유니버셜_유니버셜,상품특징_해약환급금_해약환급금_해약환급금
암보험,한화생명,한화생명 장애인전용 곰두리보장보험 무배당,2025-09-25 17:21:27,-,-,-,-,2.75 %,133.3 %,115.8 %,89.4 %,91.3 %,-,-,주계약,만기보험금,"1,000만원",26400  원,"28,200  원",이미 납입한 주계약 보험료,피보험자가 보험기간이 끝날 때까지 살아있을 경우,한화생명,한화생명 장애인전용 곰두리보장보험 무배당,1588-6363,"1. 가입나이 : 만15세 ~ 60세(납입기간, 보험기간별로 상이) 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험기간 : 10, 20년 만기, 60, 70세 만기 4. 납입기간 : 5, 10, 15, 20년납, 전기납 5. 납입주기 : 월납, 3개월납, 6개월납, 연납 6. 보험가격지수 기준 : 40세, 70세만기, 20년납, 가입금액 1,000만원, 월납 7. 보험료 기준 : 40세, 가입금액 1,000만원, 70세만기, 20년납, 월납 8. 보장범위지수 기준 : 남자 40세, 월납  - 암진단 : 개별상품 위험보험료는 일반암진단금 1,000만원(최초1회한), 초기 이외의 갑상선암 진단금 800만원(최초1회한), 소액암진단금 200만원(최초1회한) 지급 기준으로 산출  - 암입원 : 개별상품 위험보험료는 일반암 또는 갑상선암 입원금 5만원, 소액암 입원금 2만원 지급 기준으로 산출 9. 특약 기준 : - 장애인전용 곰두리암사망특약 무배당 : 70세만기 20년납, 월납  - 첫날부터 요양병원암입원특약Ⅱ(갱신형) 무배당 : 갱신형, 20년만기 20년납",2025-09-01,대면채널,비갱신형,비유니버셜,만기환급
암보험,한화생명,한화생명 장애인전용 곰두리보장보험 무배당,2025-09-25 17:21:27,-,-,-,-,2.75 %,133.3 %,115.8 %,89.4 %,91.3 %,-,-,주계약,암진단자금,"1,000만원",26400  원,"28,200  원","1년미만 500만원, 1년이상 1,000만원","보험기간 중 피보험자가 암보장개시일 이후에 ‘암(기타피부암, 갑상선암, 대장점막내암 제외)’으로 진단이 확정되었을 경우(최초 1회한)",한화생명,한화생명 장애인전용 곰두리보장보험 무배당,1588-6363,"1. 가입나이 : 만15세 ~ 60세(납입기간, 보험기간별로 상이) 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험기간 : 10, 20년 만기, 60, 70세 만기 4. 납입기간 : 5, 10, 15, 20년납, 전기납 5. 납입주기 : 월납, 3개월납, 6개월납, 연납 6. 보험가격지수 기준 : 40세, 70세만기, 20년납, 가입금액 1,000만원, 월납 7. 보험료 기준 : 40세, 가입금액 1,000만원, 70세만기, 20년납, 월납 8. 보장범위지수 기준 : 남자 40세, 월납  - 암진단 : 개별상품 위험보험료는 일반암진단금 1,000만원(최초1회한), 초기 이외의 갑상선암 진단금 800만원(최초1회한), 소액암진단금 200만원(최초1회한) 지급 기준으로 산출  - 암입원 : 개별상품 위험보험료는 일반암 또는 갑상선암 입원금 5만원, 소액암 입원금 2만원 지급 기준으로 산출 9. 특약 기준 : - 장애인전용 곰두리암사망특약 무배당 : 70세만기 20년납, 월납  - 첫날부터 요양병원암입원특약Ⅱ(갱신형) 무배당 : 갱신형, 20년만기 20년납",2025-09-01,대면채널,비갱신형,비유니버셜,만기환급
암보험,한화생명,한화생명 장애인전용 곰두리보장보험 무배당,2025-09-25 17:21:27,-,-,-,-,2.75 %,133.3 %,115.8 %,89.4 %,91.3 %,-,-,주계약,암진단자금,"1,000만원",26400  원,"28,200  원","1년미만 100만원, 1년이상 200만원",보험기간 중 피보험자가 ‘기타피부암’으로 진단이 확정되었을 경우(최초 1회한),한화생명,한화생명 장애인전용 곰두리보장보험 무배당,1588-6363,"1. 가입나이 : 만15세 ~ 60세(납입기간, 보험기간별로 상이) 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험기간 : 10, 20년 만기, 60, 70세 만기 4. 납입기간 : 5, 10, 15, 20년납, 전기납 5. 납입주기 : 월납, 3개월납, 6개월납, 연납 6. 보험가격지수 기준 : 40세, 70세만기, 20년납, 가입금액 1,000만원, 월납 7. 보험료 기준 : 40세, 가입금액 1,000만원, 70세만기, 20년납, 월납 8. 보장범위지수 기준 : 남자 40세, 월납  - 암진단 : 개별상품 위험보험료는 일반암진단금 1,000만원(최초1회한), 초기 이외의 갑상선암 진단금 800만원(최초1회한), 소액암진단금 200만원(최초1회한) 지급 기준으로 산출  - 암입원 : 개별상품 위험보험료는 일반암 또는 갑상선암 입원금 5만원, 소액암 입원금 2만원 지급 기준으로 산출 9. 특약 기준 : - 장애인전용 곰두리암사망특약 무배당 : 70세만기 20년납, 월납  - 첫날부터 요양병원암입원특약Ⅱ(갱신형) 무배당 : 갱신형, 20년만기 20년납",2025-09-01,대면채널,비갱신형,비유니버셜,만기환급
암보험,한화생명,한화생명 장애인전용 곰두리보장보험 무배당,2025-09-25 17:21:27,-,-,-,-,2.75 %,133.3 %,115.8 %,89.4 %,91.3 %,-,-,주계약,암진단자금,"1,000만원",26400  원,"28,200  원","1년미만 400만원, 1년이상 800만원",보험기간 중 피보험자가 암보장개시일 이후에 ‘초기 이외의 갑상선암’으로 진단이 확정되었을 경우(최초 1회한),한화생명,한화생명 장애인전용 곰두리보장보험 무배당,1588-6363,"1. 가입나이 : 만15세 ~ 60세(납입기간, 보험기간별로 상이) 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험기간 : 10, 20년 만기, 60, 70세 만기 4. 납입기간 : 5, 10, 15, 20년납, 전기납 5. 납입주기 : 월납, 3개월납, 6개월납, 연납 6. 보험가격지수 기준 : 40세, 70세만기, 20년납, 가입금액 1,000만원, 월납 7. 보험료 기준 : 40세, 가입금액 1,000만원, 70세만기, 20년납, 월납 8. 보장범위지수 기준 : 남자 40세, 월납  - 암진단 : 개별상품 위험보험료는 일반암진단금 1,000만원(최초1회한), 초기 이외의 갑상선암 진단금 800만원(최초1회한), 소액암진단금 200만원(최초1회한) 지급 기준으로 산출  - 암입원 : 개별상품 위험보험료는 일반암 또는 갑상선암 입원금 5만원, 소액암 입원금 2만원 지급 기준으로 산출 9. 특약 기준 : - 장애인전용 곰두리암사망특약 무배당 : 70세만기 20년납, 월납  - 첫날부터 요양병원암입원특약Ⅱ(갱신형) 무배당 : 갱신형, 20년만기 20년납",2025-09-01,대면채널,비갱신형,비유니버셜,만기환급
암보험,한화생명,한화생명 장애인전용 곰두리보장보험 무배당,2025-09-25 17:21:27,-,-,-,-,2.75 %,133.3 %,115.8 %,89.4 %,91.3 %,-,-,주계약,암진단자금,"1,000만원",26400  원,"28,200  원","1년미만 100만원, 1년이상 200만원",보험기간 중 피보험자가 암보장개시일 이후에 ‘갑상선암’으로 진단이 확정되었을 경우(최초 1회한),한화생명,한화생명 장애인전용 곰두리보장보험 무배당,1588-6363,"1. 가입나이 : 만15세 ~ 60세(납입기간, 보험기간별로 상이) 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험기간 : 10, 20년 만기, 60, 70세 만기 4. 납입기간 : 5, 10, 15, 20년납, 전기납 5. 납입주기 : 월납, 3개월납, 6개월납, 연납 6. 보험가격지수 기준 : 40세, 70세만기, 20년납, 가입금액 1,000만원, 월납 7. 보험료 기준 : 40세, 가입금액 1,000만원, 70세만기, 20년납, 월납 8. 보장범위지수 기준 : 남자 40세, 월납  - 암진단 : 개별상품 위험보험료는 일반암진단금 1,000만원(최초1회한), 초기 이외의 갑상선암 진단금 800만원(최초1회한), 소액암진단금 200만원(최초1회한) 지급 기준으로 산출  - 암입원 : 개별상품 위험보험료는 일반암 또는 갑상선암 입원금 5만원, 소액암 입원금 2만원 지급 기준으로 산출 9. 특약 기준 : - 장애인전용 곰두리암사망특약 무배당 : 70세만기 20년납, 월납  - 첫날부터 요양병원암입원특약Ⅱ(갱신형) 무배당 : 갱신형, 20년만기 20년납",2025-09-01,대면채널,비갱신형,비유니버셜,만기환급
암보험,한화생명,한화생명 장애인전용 곰두리보장보험 무배당,2025-09-25 17:21:27,-,-,-,-,2.75 %,133.3 %,115.8 %,89.4 %,91.3 %,-,-,주계약,암진단자금,"1,000만원",26400  원,"28,200  원","1년미만 100만원, 1년이상 200만원",보험기간 중 피보험자가 ‘대장점막내암’으로 진단이 확정되었을 경우(최초 1회한),한화생명,한화생명 장애인전용 곰두리보장보험 무배당,1588-6363,"1. 가입나이 : 만15세 ~ 60세(납입기간, 보험기간별로 상이) 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험기간 : 10, 20년 만기, 60, 70세 만기 4. 납입기간 : 5, 10, 15, 20년납, 전기납 5. 납입주기 : 월납, 3개월납, 6개월납, 연납 6. 보험가격지수 기준 : 40세, 70세만기, 20년납, 가입금액 1,000만원, 월납 7. 보험료 기준 : 40세, 가입금액 1,000만원, 70세만기, 20년납, 월납 8. 보장범위지수 기준 : 남자 40세, 월납  - 암진단 : 개별상품 위험보험료는 일반암진단금 1,000만원(최초1회한), 초기 이외의 갑상선암 진단금 800만원(최초1회한), 소액암진단금 200만원(최초1회한) 지급 기준으로 산출  - 암입원 : 개별상품 위험보험료는 일반암 또는 갑상선암 입원금 5만원, 소액암 입원금 2만원 지급 기준으로 산출 9. 특약 기준 : - 장애인전용 곰두리암사망특약 무배당 : 70세만기 20년납, 월납  - 첫날부터 요양병원암입원특약Ⅱ(갱신형) 무배당 : 갱신형, 20년만기 20년납",2025-09-01,대면채널,비갱신형,비유니버셜,만기환급
암보험,한화생명,한화생명 장애인전용 곰두리보장보험 무배당,2025-09-25 17:21:27,-,-,-,-,2.75 %,133.3 %,115.8 %,89.4 %,91.3 %,-,-,주계약,암진단자금,"1,000만원",26400  원,"28,200  원","1년미만 100만원, 1년이상 200만원",보험기간 중 피보험자가 ‘제자리암’으로 진단이 확정되었을 경우(최초 1회한),한화생명,한화생명 장애인전용 곰두리보장보험 무배당,1588-6363,"1. 가입나이 : 만15세 ~ 60세(납입기간, 보험기간별로 상이) 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험기간 : 10, 20년 만기, 60, 70세 만기 4. 납입기간 : 5, 10, 15, 20년납, 전기납 5. 납입주기 : 월납, 3개월납, 6개월납, 연납 6. 보험가격지수 기준 : 40세, 70세만기, 20년납, 가입금액 1,000만원, 월납 7. 보험료 기준 : 40세, 가입금액 1,000만원, 70세만기, 20년납, 월납 8. 보장범위지수 기준 : 남자 40세, 월납  - 암진단 : 개별상품 위험보험료는 일반암진단금 1,000만원(최초1회한), 초기 이외의 갑상선암 진단금 800만원(최초1회한), 소액암진단금 200만원(최초1회한) 지급 기준으로 산출  - 암입원 : 개별상품 위험보험료는 일반암 또는 갑상선암 입원금 5만원, 소액암 입원금 2만원 지급 기준으로 산출 9. 특약 기준 : - 장애인전용 곰두리암사망특약 무배당 : 70세만기 20년납, 월납  - 첫날부터 요양병원암입원특약Ⅱ(갱신형) 무배당 : 갱신형, 20년만기 20년납",2025-09-01,대면채널,비갱신형,비유니버셜,만기환급
암보험,한화생명,한화생명 장애인전용 곰두리보장보험 무배당,2025-09-25 17:21:27,-,-,-,-,2.75 %,133.3 %,115.8 %,89.4 %,91.3 %,-,-,주계약,암진단자금,"1,000만원",26400  원,"28,200  원","1년미만 100만원, 1년이상 200만원",보험기간 중 피보험자가 ‘경계성종양’으로 진단이 확정되었을 경우(최초 1회한),한화생명,한화생명 장애인전용 곰두리보장보험 무배당,1588-6363,"1. 가입나이 : 만15세 ~ 60세(납입기간, 보험기간별로 상이) 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험기간 : 10, 20년 만기, 60, 70세 만기 4. 납입기간 : 5, 10, 15, 20년납, 전기납 5. 납입주기 : 월납, 3개월납, 6개월납, 연납 6. 보험가격지수 기준 : 40세, 70세만기, 20년납, 가입금액 1,000만원, 월납 7. 보험료 기준 : 40세, 가입금액 1,000만원, 70세만기, 20년납, 월납 8. 보장범위지수 기준 : 남자 40세, 월납  - 암진단 : 개별상품 위험보험료는 일반암진단금 1,000만원(최초1회한), 초기 이외의 갑상선암 진단금 800만원(최초1회한), 소액암진단금 200만원(최초1회한) 지급 기준으로 산출  - 암입원 : 개별상품 위험보험료는 일반암 또는 갑상선암 입원금 5만원, 소액암 입원금 2만원 지급 기준으로 산출 9. 특약 기준 : - 장애인전용 곰두리암사망특약 무배당 : 70세만기 20년납, 월납  - 첫날부터 요양병원암입원특약Ⅱ(갱신형) 무배당 : 갱신형, 20년만기 20년납",2025-09-01,대면채널,비갱신형,비유니버셜,만기환급
암보험,한화생명,한화생명 장애인전용 곰두리보장보험 무배당,2025-09-25 17:21:27,-,-,-,-,2.75 %,133.3 %,115.8 %,89.4 %,91.3 %,-,-,주계약,암직접치료입원급여금,"1,000만원",26400  원,"28,200  원",1일당 5만원(1회 입원당 지급일수 120일 한도),"보험기간 중 피보험자가 암보장개시일 이후에 ‘암(기타피부암, 대장점막내암 제외)’으로 진단이 확정되고, 보험기간 중 그 ‘암(기타피부암, 대장점막내암 제외)’의 직접적인 치료를 목적으로 1일 이상 입원하였을 경우",한화생명,한화생명 장애인전용 곰두리보장보험 무배당,1588-6363,"1. 가입나이 : 만15세 ~ 60세(납입기간, 보험기간별로 상이) 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험기간 : 10, 20년 만기, 60, 70세 만기 4. 납입기간 : 5, 10, 15, 20년납, 전기납 5. 납입주기 : 월납, 3개월납, 6개월납, 연납 6. 보험가격지수 기준 : 40세, 70세만기, 20년납, 가입금액 1,000만원, 월납 7. 보험료 기준 : 40세, 가입금액 1,000만원, 70세만기, 20년납, 월납 8. 보장범위지수 기준 : 남자 40세, 월납  - 암진단 : 개별상품 위험보험료는 일반암진단금 1,000만원(최초1회한), 초기 이외의 갑상선암 진단금 800만원(최초1회한), 소액암진단금 200만원(최초1회한) 지급 기준으로 산출  - 암입원 : 개별상품 위험보험료는 일반암 또는 갑상선암 입원금 5만원, 소액암 입원금 2만원 지급 기준으로 산출 9. 특약 기준 : - 장애인전용 곰두리암사망특약 무배당 : 70세만기 20년납, 월납  - 첫날부터 요양병원암입원특약Ⅱ(갱신형) 무배당 : 갱신형, 20년만기 20년납",2025-09-01,대면채널,비갱신형,비유니버셜,만기환급
암보험,한화생명,한화생명 장애인전용 곰두리보장보험 무배당,2025-09-25 17:21:27,-,-,-,-,2.75 %,133.3 %,115.8 %,89.4 %,91.3 %,-,-,주계약,암직접치료입원급여금,"1,000만원",26400  원,"28,200  원",1일당 2만원(1회 입원당 지급일수 120일 한도),"보험기간 중 피보험자가 기타피부암, 대장점막내암, 제자리암 또는 경계성종양으로 진단이 확정되고, 보험기간 중 그 기타피부암, 대장점막내암, 제자리암 또는 경계성종양의 직접적인 치료를 목적으로 1일 이상 입원하였을 경우",한화생명,한화생명 장애인전용 곰두리보장보험 무배당,1588-6363,"1. 가입나이 : 만15세 ~ 60세(납입기간, 보험기간별로 상이) 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험기간 : 10, 20년 만기, 60, 70세 만기 4. 납입기간 : 5, 10, 15, 20년납, 전기납 5. 납입주기 : 월납, 3개월납, 6개월납, 연납 6. 보험가격지수 기준 : 40세, 70세만기, 20년납, 가입금액 1,000만원, 월납 7. 보험료 기준 : 40세, 가입금액 1,000만원, 70세만기, 20년납, 월납 8. 보장범위지수 기준 : 남자 40세, 월납  - 암진단 : 개별상품 위험보험료는 일반암진단금 1,000만원(최초1회한), 초기 이외의 갑상선암 진단금 800만원(최초1회한), 소액암진단금 200만원(최초1회한) 지급 기준으로 산출  - 암입원 : 개별상품 위험보험료는 일반암 또는 갑상선암 입원금 5만원, 소액암 입원금 2만원 지급 기준으로 산출 9. 특약 기준 : - 장애인전용 곰두리암사망특약 무배당 : 70세만기 20년납, 월납  - 첫날부터 요양병원암입원특약Ⅱ(갱신형) 무배당 : 갱신형, 20년만기 20년납",2025-09-01,대면채널,비갱신형,비유니버셜,만기환급
